x_value,throughput_packets_per_s,throughput_bits_per_s,throughput_bits_std,collision_rate,collision_rate_std,mean_delay_s,mean_delay_std
2,113.2,1358400.0,51511.55210241679,0.0023905678508217175,0.0016937994571684539,0.0011956817925932565,3.568411902977339e-06
4,229.2,2750400.0,76373.8175031208,0.005237429024438891,0.0015368696300100345,0.0012984613987235814,1.1052531507970469e-05
6,334.4,4012800.0,87876.27666213448,0.012969323186727388,0.003279948686526886,0.0014335237006294723,1.902017149388244e-05
8,435.1333333333333,5221600.0,44699.88814303678,0.0238782022618143,0.004755554821688521,0.001641781212697154,3.412162869703735e-05
10,536.4666666666667,6437600.0,27457.603682768822,0.05090567666729259,0.005060286701214483,0.0019642095370510115,2.398942391490953e-05
12,626.4,7516800.0,76373.8175031208,0.07658041718718393,0.0032627804925522133,0.002394780516591999,1.7030503804350422e-05
14,703.6666666666666,8444000.0,22285.42124349459,0.128270961863143,0.014426981562350333,0.003257344778878445,0.0001676134186567027
16,741.4666666666667,8897600.0,32456.74044016127,0.20566233780131069,0.005084972551184801,0.0049164181920369485,0.00011796099101946463
18,739.4666666666667,8873600.0,7418.894796396563,0.28962518803596105,0.004782158327959555,0.007670907401964675,0.00013106317704723706
20,732.8666666666667,8794400.0,92585.96005874757,0.3406201862446791,0.014507322200082244,0.010437559255857076,0.0008345354373531207
