x_value,throughput_packets_per_s,throughput_bits_per_s,throughput_bits_std,collision_rate,collision_rate_std,mean_delay_s,mean_delay_std
2,322.2,3866400.0,102499.95121950058,0.0020999090781510465,0.0015678918589638418,0.0012808815806664067,6.8337728252104315e-06
4,592.8,7113600.0,80199.75062305368,0.03473931438054324,0.002011060222674323,0.0017764120608000343,1.7675100981685998e-05
6,763.0,9156000.0,22599.115026920856,0.10632623232906865,0.009947512624857083,0.0028867704146424305,5.687556289988744e-05
8,790.2666666666667,9483200.0,44527.744160242386,0.2131798543136954,0.005782189973434423,0.00513008105739835,0.0001128488394561391
10,764.2,9170400.0,23103.246525109844,0.2900729330434851,0.003930130639663507,0.008142453160292426,5.354468399743561e-05
12,742.3333333333333,8908000.0,4931.531202375181,0.33924460038129706,0.00159001167993891,0.011254078999700072,6.570597298103599e-05
14,722.1333333333333,8665600.0,26749.20559568078,0.3752692068092731,0.0038481868630800154,0.014332571022777277,0.00014909519115585836
16,705.3333333333334,8464000.0,71123.55446685718,0.40602495739724853,0.008968913859462253,0.017745692354742496,0.00016056324727441195
18,693.1333333333333,8317600.0,87817.9936004006,0.4263624820840739,0.008720560144978962,0.021024346804539927,0.00025567787837164744
20,692.1999999999999,8306400.0,73765.03236629129,0.43219049596118986,0.007310219628245313,0.023973425885916316,0.0002891542865019628
