x_value,throughput_packets_per_s,throughput_bits_per_s,throughput_bits_std,collision_rate,collision_rate_std,mean_delay_s,mean_delay_std
1,638.9333333333334,7667200.0,16666.133324799728,0.5076751162758767,0.0020122244777322335,0.008949797974548755,9.348512949835886e-05
2,666.8666666666667,8002400.0,9260.66952223218,0.4679760695783954,0.0020965180798575463,0.01136607430722006,0.0001555507726688103
3,690.4666666666667,8285600.0,22025.439836697926,0.4311458714819396,0.0027836797132941332,0.012503651341066421,0.00026162797315407225
4,704.8666666666667,8458400.0,22964.320151051717,0.40530736768157255,0.002204408410272524,0.013327124621626907,0.00021392598998826493
5,711.1333333333333,8533600.0,24812.899870833317,0.39319120513945005,0.0027649267924702557,0.013488780216765238,9.7815585596686e-05
6,718.1333333333333,8617600.0,38216.2269199878,0.3802371298899674,0.0036974334498678244,0.01361164876733408,0.00013489208032575864
7,722.5333333333333,8670400.0,41399.51690539395,0.3756645057729911,0.005839244873787688,0.013729349210486574,0.0001154482532746469
8,718.6666666666667,8624000.0,77554.62590974184,0.3806290584677835,0.008638318537773233,0.014114677189035823,0.0001841896043321005
9,718.8666666666667,8626400.0,41399.51690539395,0.38014169184393587,0.003519756970535122,0.014158062543364469,0.00015384161428664997
10,723.3333333333334,8680000.0,61010.16308780038,0.37114901966546626,0.009767066728748578,0.014082993501681924,0.0001842005908502971
11,719.5333333333333,8634400.0,18207.690682785666,0.3787127197717107,0.000829734190591077,0.014222790450349984,0.00017627066052352728
12,720.0666666666666,8640800.0,65940.5793119836,0.3782744989440873,0.006035899562428895,0.01419301349468529,0.0001399723383915698
13,724.0,8688000.0,69641.36701702516,0.37390727573156507,0.010142883334922633,0.014111332262714521,0.00019569681292790693
14,720.8666666666667,8650400.0,11811.85844818672,0.37605331120429036,0.0006301381734528265,0.014103736803638427,7.699637137023703e-05
15,716.6,8599200.0,10369.185117452576,0.38166956860616374,0.0016527696117045803,0.014303343415537068,4.3689608207154116e-05
16,718.9333333333334,8627200.0,59866.51818838306,0.3781654746692702,0.0068263417331229075,0.014214786371592961,0.00011331172223459244
17,720.9333333333334,8651200.0,14966.629547095765,0.37850012626042856,0.002482710135127205,0.014157634244854578,0.0001768480352992942
18,721.3333333333334,8656000.0,67778.46265592043,0.37646150457525285,0.010209903375208253,0.014138208060509597,0.00015824781471221341
19,723.8,8685600.0,61219.60470306877,0.3720976278973617,0.0076365862550357225,0.014037025257285306,0.00028852324923610154
20,721.7333333333333,8660800.0,88861.24014439591,0.37396041545709247,0.010939513250643115,0.014163013725796338,0.0003084343200417724
