x_value,throughput_packets_per_s,throughput_bits_per_s,throughput_bits_std,collision_rate,collision_rate_std,mean_delay_s,mean_delay_std
3,637.8666666666667,7654400.0,39646.43741876438,0.5040192387512629,0.004880466005507564,0.011066163364998789,0.00036122394445592463
8,709.4666666666666,8513600.0,20396.07805437114,0.37758852584743124,0.001033116422704662,0.008571996564054517,0.0002815529304757252
13,751.9333333333333,9023200.0,26749.20559568078,0.2973020255902316,0.0021775717263425075,0.007674062364127549,8.0993111901558e-05
18,766.0,9192000.0,30167.532215943684,0.24906191335577602,0.002723003800879498,0.0070818493015618765,4.3154669659529584e-05
23,779.0,9348000.0,46825.63400531807,0.21029934753925192,0.0036955775180711747,0.0067622637118662145,0.00013319632473457403
28,779.7333333333333,9356800.0,42226.058305269275,0.18737348205304472,0.004548080014455487,0.006637572662402503,0.00019374264302753313
33,786.4666666666667,9437600.0,41213.58999165203,0.16720543146150968,0.0037346786015546567,0.006667446576642007,8.79393287658362e-05
38,784.6666666666666,9416000.0,10792.590050585633,0.15237302951979537,0.002660711868925216,0.006625868688017467,2.0278890633154945e-05
43,788.1333333333333,9457600.0,45127.37528374545,0.13396646513774324,0.0031089824769530215,0.006610570107229976,0.00018050539053767337
48,784.1333333333333,9409600.0,14444.376068214231,0.12802316839627728,0.002910626834381604,0.0066899342382718404,7.009510226343332e-05
53,779.2,9350400.0,48989.79485566356,0.1175541913210916,0.004544518731043552,0.006569388166853416,5.143518790136116e-05
58,773.6666666666666,9284000.0,17563.598720080117,0.10783342350696273,0.005151555494749783,0.00658116684298575,9.90341176351523e-05
63,776.6,9319200.0,27223.519243477687,0.10190919060840843,0.004652247284197389,0.006793273548734145,8.436561832589516e-05
