x_value,throughput_packets_per_s,throughput_bits_per_s,throughput_bits_std,collision_rate,collision_rate_std,mean_delay_s,mean_delay_std
2,38.86666666666667,466400.0,17780.888616714295,0.0,0.0,0.0011674395028386608,6.691070952262558e-06
4,82.39999999999999,988800.0,25699.805446734415,0.001564945226917058,0.002213166764277144,0.0011889738951599998,1.2554511307926715e-05
6,114.86666666666666,1378400.0,33389.81880753473,0.0034075107050986603,0.00273221219414809,0.0012272155789547158,1.4661946780924347e-05
8,158.66666666666669,1904000.0,56330.453575308624,0.005038808263254946,0.005392483977070298,0.0012820331512975445,1.1515378388745966e-05
10,196.2,2354400.0,101823.37649086284,0.008531751617325434,0.004747387040413535,0.0013210635062071274,2.3998533175861185e-05
12,236.0,2832000.0,39775.36926289937,0.0089274893121303,0.0019407124672283804,0.0013425867680590233,2.707574209966872e-05
14,269.93333333333334,3239200.0,62163.654976199716,0.011759158578780196,0.0033516446354959237,0.0014035597981638627,1.1094173782290694e-05
16,308.46666666666664,3701600.0,54388.23402170731,0.011072715607196934,0.002455616921159555,0.0014545668221968653,2.1217855914353885e-05
18,355.0,4260000.0,68669.6439483998,0.023154064700010867,0.0029963802430206755,0.0015586806566810448,4.261330449099172e-06
20,390.73333333333335,4688800.0,116333.31423113501,0.029395076044585813,0.004695180404640298,0.0016429237437725812,3.653378577915748e-05
