x_value,throughput_packets_per_s,throughput_bits_per_s,throughput_bits_std,collision_rate,collision_rate_std,mean_delay_s,mean_delay_std
2,39.0,468000.0,43244.421605566655,0.0,0.0,0.0015861940587717782,5.361119878525019e-06
4,75.06666666666666,900800.0,2262.741699796952,0.001763668430335097,0.002494203813709162,0.0016389525680088127,1.3439845969242069e-05
6,123.2,1478400.0,32965.436444858424,0.003175918254625794,0.002556373724417602,0.0017287781475159617,1.0076344722721032e-05
8,154.46666666666667,1853600.0,87247.69337925216,0.0068211779965501994,0.0009674430854863657,0.001769413323070666,6.711163493766696e-06
10,197.0,2364000.0,19299.74093090371,0.013299132263580298,0.0045155663462993646,0.0018988993763117148,3.155097761557769e-05
12,234.8,2817600.0,42437.7190715995,0.019940876080109367,0.005691057826848357,0.001988560592485201,2.9638392117758422e-05
14,269.53333333333336,3234400.0,49972.79259757253,0.015821525119707896,0.0008508029534810446,0.0020735707865762827,5.002702164461855e-05
16,303.2,3638400.0,80199.75062305368,0.023843991959806334,0.0032900264622019106,0.002222163328320154,4.743653061974306e-05
18,343.4,4120800.0,95579.07720835142,0.032827992787893466,0.004265469383333282,0.002346902155845425,1.79467515190901e-05
20,383.6666666666667,4604000.0,56839.422938661155,0.04288640173137407,0.005892711451816516,0.0025571591055844377,1.309343266133852e-05
