x_value,throughput_packets_per_s,throughput_bits_per_s,throughput_bits_std,collision_rate,collision_rate_std,mean_delay_s,mean_delay_std
2,37.266666666666666,447200.0,14176.03611733548,0.0,0.0,0.0011591752414523513,3.903373829221963e-06
4,76.06666666666666,912800.0,32219.248904963628,0.0,0.0,0.0011975711426557487,1.2083414858012942e-05
6,117.6,1411200.0,18693.314312876675,0.0022409976394197136,0.0015847320484073675,0.0012277299767862752,1.0649275230108968e-05
8,150.4,1804800.0,31536.645351083236,0.004430181660232364,0.0012947674469288798,0.0012504622213750367,1.3907630560755395e-05
10,190.13333333333333,2281600.0,7418.894796396563,0.004182010429734173,0.001689461094745541,0.0013082623789110609,4.423080068419742e-06
12,232.93333333333334,2795200.0,69567.80864739094,0.01304465921781448,0.0031321506673971785,0.0013644542466561748,6.815593489903397e-06
14,271.8666666666667,3262400.0,51112.42510388252,0.013722891983648584,0.004256509745078215,0.0014096283836509277,1.749226319077772e-05
16,311.0,3732000.0,50380.948780268125,0.015221740741927158,0.0019776513272074204,0.0014680941714985095,9.338452239059509e-06
18,350.93333333333334,4211200.0,21585.180101171267,0.026778805627973485,0.003647702995310047,0.0015976256368466274,1.2540952836058657e-05
20,387.8666666666667,4654400.0,66635.72615346816,0.02695111732365347,0.004477522463253362,0.001611818647517962,2.6377930158027446e-05
